name,id,tier,rarity,character,pool,description,notes
Fencing Manual,FENCING_MANUAL,A,Common Relic,Shared,regent,"At the start of each combat, [gold]Forge[/gold] [blue]10[/blue].",Forge 10 at combat start. Free enchant value.
Festive Popper,FESTIVE_POPPER,B,Common Relic,Shared,shared,"At the start of each combat, deal [blue]9[/blue] damage to ALL enemies.",Standard relic. Evaluate based on deck needs.
Fiddle,FIDDLE,B,Ancient Relic,Shared,shared,"At the start of each turn, draw [blue]2[/blue] additional cards. You may not draw cards during your turn.",Standard relic. Evaluate based on deck needs.
Forgotten Soul,FORGOTTEN_SOUL,B,Event Relic,Shared,shared,"Whenever you [gold]Exhaust[/gold] a card, deal [blue]1[/blue] damage to a random enemy.",Standard relic. Evaluate based on deck needs.
Fragrant Mushroom,FRAGRANT_MUSHROOM,B,Event Relic,Shared,shared,"Upon pickup, lose [red]15[/red] HP and [gold]Upgrade[/gold] [blue]3[/blue] random cards.",Standard relic. Evaluate based on deck needs.
Fresnel Lens,FRESNEL_LENS,B,Event Relic,Shared,shared,"Whenever you add a card that gains [gold]Block[/gold] to your [gold]Deck[/gold], [gold]Enchant[/gold] it with [purple]Nimble[/purple] [blue]2[/blue].",Standard relic. Evaluate based on deck needs.
Frozen Egg,FROZEN_EGG,B,Rare Relic,Shared,shared,"Whenever you add a Power into your [gold]Deck[/gold], [gold]Upgrade[/gold] it.",Standard relic. Evaluate based on deck needs.
Funerary Mask,FUNERARY_MASK,S,Uncommon Relic,Shared,necrobinder,"At the start of each combat, add [blue]3[/blue] [gold]Souls[/gold] into your [gold]Draw Pile[/gold].",3 Souls in draw pile at start. Removes setup variance.
Fur Coat,FUR_COAT,B,Ancient Relic,Shared,shared,"Upon pickup, mark [blue]7[/blue] random combats. Enemies in those rooms have [blue]1[/blue] HP.",Standard relic. Evaluate based on deck needs.
Galactic Dust,GALACTIC_DUST,A,Uncommon Relic,Shared,regent,"For every [blue]10[/blue] [star:1] spent, gain [blue]10[/blue] [gold]Block[/gold].",Every 10 Stars spent = 10 Block. Defensive engine.
Gambling Chip,GAMBLING_CHIP,S,Rare Relic,Shared,shared,"At the start of each combat, discard any number of cards then draw that many.",Free mulligan every fight. Eliminates bad opening hands.
Game Piece,GAME_PIECE,B,Rare Relic,Shared,shared,"Whenever you play a Power, draw [blue]1[/blue] card.",Standard relic. Evaluate based on deck needs.
Ghost Seed,GHOST_SEED,A,Shop Relic,Shared,shared,[gold]Strikes[/gold] and [gold]Defends[/gold] gain [gold]Ethereal[/gold].,Strikes/Defends gain Ethereal. Free deck thinning.
Girya,GIRYA,B,Rare Relic,Shared,shared,You can now gain [gold]Strength[/gold] at [gold]Rest Sites[/gold]. ([blue]3[/blue] times max),Rest = +1 Strength (3 max). Slow scaling.
Glass Eye,GLASS_EYE,B,Ancient Relic,Shared,shared,"Upon pickup, obtain [blue]2[/blue] [gold]Common[/gold] cards, [blue]2[/blue] [gold]Uncommon[/gold] cards, and [blue]1[/blue] [gold]Rare[/gold] card.",Standard relic. Evaluate based on deck needs.
Glitter,GLITTER,B,Ancient Relic,Shared,shared,[gold]Enchant[/gold] all card rewards with [purple]Glam[/purple].,Standard relic. Evaluate based on deck needs.
Gnarled Hammer,GNARLED_HAMMER,B,Shop Relic,Shared,shared,"Upon pickup, [gold]Enchant[/gold] up to [blue]3[/blue] Attacks with [purple]Sharp[/purple] [blue]3[/blue].",Enchant 3 Attacks with Sharp 3. Immediate damage.
Gold-Plated Cables,GOLD_PLATED_CABLES,A,Uncommon Relic,Shared,defect,Your rightmost Orb triggers its passive an additional time.,Rightmost Orb triggers twice. Position your best Orb.
Golden Compass,GOLDEN_COMPASS,B,Ancient Relic,Shared,shared,"Upon pickup, replace the [gold]Act[/gold] [blue]2[/blue] Map with a single special path.",Standard relic. Evaluate based on deck needs.
Golden Pearl,GOLDEN_PEARL,B,Ancient Relic,Shared,shared,"Upon pickup, gain [blue]150[/blue] [gold]Gold[/gold].",Standard relic. Evaluate based on deck needs.
Gorget,GORGET,B,Common Relic,Shared,shared,"At the start of each combat, gain [blue]4[/blue] [gold]Plating[/gold].",Standard relic. Evaluate based on deck needs.
Gremlin Horn,GREMLIN_HORN,B,Uncommon Relic,Shared,shared,"Whenever an enemy dies, gain [energy:1] and draw [blue]1[/blue] card.",Kill non-minion = +1 Energy + draw 1. Snowball vs multi.
Hand Drill,HAND_DRILL,B,Event Relic,Shared,shared,"Whenever you break an enemy's [gold]Block[/gold], apply [blue]2[/blue] [gold]Vulnerable[/gold].",Standard relic. Evaluate based on deck needs.
Happy Flower,HAPPY_FLOWER,B,Common Relic,Shared,shared,"Every [blue]3[/blue] turns, gain [energy:1].",Standard relic. Evaluate based on deck needs.
Happy Flower???,FAKE_HAPPY_FLOWER,B,Event Relic,Shared,shared,"Every [blue]5[/blue] turns, gain [energy:1].",Standard relic. Evaluate based on deck needs.
Helical Dart,HELICAL_DART,S,Rare Relic,Shared,silent,"Whenever you play a [gold]Shiv[/gold], gain [blue]1[/blue] [gold]Dexterity[/gold] this turn.",Shiv = +1 Dex this turn. Shiv builds become defensive.
History Course,HISTORY_COURSE,B,Event Relic,Shared,shared,"At the start of your turn, play a copy of your last played Attack or Skill.",Standard relic. Evaluate based on deck needs.
Horn Cleat,HORN_CLEAT,B,Uncommon Relic,Shared,shared,"At the start of your [blue]2nd[/blue] turn, gain [blue]14[/blue] [gold]Block[/gold].",Turn 2+ = 14 Block. Strong defensive start.
Ice Cream,ICE_CREAM,S,Rare Relic,Shared,shared,Energy is now conserved between turns.,Energy carries over turns. Top tier.
Infused Core,INFUSED_CORE,S,Starter Relic,Shared,defect,"At the start of each combat, [gold]Channel[/gold] [blue]3[/blue] [gold]Lightning[/gold].",Upgrade. Channel 3 Lightning at start. Massive.
Intimidating Helmet,INTIMIDATING_HELMET,B,Rare Relic,Shared,shared,"Whenever you play a card that costs [energy:2] or more, gain [blue]4[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Iron Club,IRON_CLUB,B,Ancient Relic,Shared,shared,"Every [blue]4[/blue] cards you play, draw [blue]1[/blue] card.",Standard relic. Evaluate based on deck needs.
Ivory Tile,IVORY_TILE,B,Rare Relic,Shared,necrobinder,"Whenever you play a card that costs [energy:3] or more, gain [energy:1].",Play Soul-cost card = +1 Soul. Self-sustaining economy.
Jeweled Mask,JEWELED_MASK,B,Ancient Relic,Shared,shared,"At the start of combat put a random Power from your [gold]Draw Pile[/gold] into your [gold]Hand[/gold], it's free to play.",Standard relic. Evaluate based on deck needs.
Jewelry Box,JEWELRY_BOX,B,Ancient Relic,Shared,shared,"Upon pickup, add [blue]1[/blue] [gold]Apotheosis[/gold] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Joss Paper,JOSS_PAPER,B,Uncommon Relic,Shared,shared,"Every [blue]5[/blue] times you [gold]Exhaust[/gold] a card, draw [blue]1[/blue] card.",Standard relic. Evaluate based on deck needs.
Juzu Bracelet,JUZU_BRACELET,B,Common Relic,Shared,shared,Regular enemy combats are no longer encountered in [gold]?[/gold] rooms.,Standard relic. Evaluate based on deck needs.
Kifuda,KIFUDA,B,Shop Relic,Shared,shared,"Upon pickup, [gold]Enchant[/gold] up to [blue]3[/blue] cards with [purple]Adroit[/purple].",Standard relic. Evaluate based on deck needs.
Kunai,KUNAI,A,Rare Relic,Shared,shared,"Every time you play [blue]3[/blue] Attacks in a single turn, gain [blue]1[/blue] [gold]Dexterity[/gold].",Play 3 attacks = +1 Dex. Attack-heavy defense.
Kusarigama,KUSARIGAMA,B,Uncommon Relic,Shared,shared,"Every time you play [blue]3[/blue] Attacks in a single turn, deal [blue]6[/blue] damage to a random enemy.",Standard relic. Evaluate based on deck needs.
Lantern,LANTERN,A,Common Relic,Shared,shared,Start each combat with an additional [energy:1].,Turn 1 = +1 Energy. Gets setup cards out early.
Large Capsule,LARGE_CAPSULE,B,Ancient Relic,Shared,shared,"Upon pickup, obtain [blue]2[/blue] random [gold]Relics[/gold]. Add an additional [gold]Strike[/gold] and [gold]Defend[/gold] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Lasting Candy,LASTING_CANDY,B,Rare Relic,Shared,shared,"Every other combat, your card rewards gain an additional Power.",Standard relic. Evaluate based on deck needs.
Lava Lamp,LAVA_LAMP,B,Shop Relic,Shared,shared,"At the end of combat, [gold]Upgrade[/gold] all card rewards if you took no damage.",No damage = upgraded rewards. Defensive incentive.
Lava Rock,LAVA_ROCK,B,Ancient Relic,Shared,shared,The Act 1 Boss drops [blue]2[/blue] [gold]Relics[/gold].,Standard relic. Evaluate based on deck needs.
Lead Paperweight,LEAD_PAPERWEIGHT,B,Ancient Relic,Shared,shared,"Upon pickup, choose [blue]1[/blue] of [blue]2[/blue] Colorless cards to add to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Leafy Poultice,LEAFY_POULTICE,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Transform[/gold] [blue]1[/blue] of your [gold]Strikes[/gold] and [blue]1[/blue] of your [gold]Defends[/gold] and lose [blue]10[/blue] Max HP.",Standard relic. Evaluate based on deck needs.
Lee's Waffle,LEES_WAFFLE,B,Shop Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]7[/blue] and heal all of your HP.","+7 Max HP, full heal. Emergency sustain."
Lee's Waffle???,FAKE_LEES_WAFFLE,B,Event Relic,Shared,shared,"Upon pickup, heal [green]10%[/green] of your HP.",Standard relic. Evaluate based on deck needs.
Letter Opener,LETTER_OPENER,B,Uncommon Relic,Shared,shared,"Every time you play [blue]3[/blue] Skills in a single turn, deal [blue]5[/blue] damage to ALL enemies.",Play 3 Skills = 5 damage to all. Skill-heavy reward.
Lizard Tail,LIZARD_TAIL,A,Rare Relic,Shared,shared,"When you would die, heal to [green]50%[/green] of your Max HP instead (works once).",Die = revive at 50% HP (once). Safety net.
Looming Fruit,LOOMING_FRUIT,B,Ancient Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]31[/blue].",Standard relic. Evaluate based on deck needs.
Lord's Parasol,LORDS_PARASOL,B,Ancient Relic,Shared,shared,"When you encounter the [gold]Merchant[/gold], immediately obtain EVERYTHING he sells.",Standard relic. Evaluate based on deck needs.
Lost Coffer,LOST_COFFER,B,Ancient Relic,Shared,shared,"Upon pickup, gain [blue]1[/blue] card reward and procure [blue]1[/blue] random potion.",Standard relic. Evaluate based on deck needs.
Lost Wisp,LOST_WISP,B,Event Relic,Shared,shared,"Whenever you play a [gold]Power[/gold], deal [blue]8[/blue] damage to ALL enemies.",Standard relic. Evaluate based on deck needs.
Lucky Fysh,LUCKY_FYSH,B,Uncommon Relic,Shared,shared,"Whenever you add a card to your [gold]Deck[/gold], gain [blue]15[/blue] [gold]Gold[/gold].",Standard relic. Evaluate based on deck needs.
Lunar Pastry,LUNAR_PASTRY,S,Rare Relic,Shared,regent,"At the end of your turn, gain [star:1].",End turn = +1 Star. Passive Stars every turn.
Mango,MANGO,B,Rare Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]14[/blue].",Max HP +14 on pickup. Simple HP boost.
Mango???,FAKE_MANGO,B,Event Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]3[/blue].",Standard relic. Evaluate based on deck needs.
Massive Scroll,MASSIVE_SCROLL,B,Ancient Relic,Shared,shared,"Upon pickup, choose [blue]1[/blue] of [blue]3[/blue] [gold]Multiplayer Colorless Cards[/gold] to add to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Maw Bank,MAW_BANK,B,Event Relic,Shared,shared,"Whenever you climb a floor, gain [blue]12[/blue] [gold]Gold[/gold]. No longer works when you spend any [gold]Gold[/gold] at the shop.",Standard relic. Evaluate based on deck needs.
Meal Ticket,MEAL_TICKET,B,Common Relic,Shared,shared,"Whenever you enter a shop room, heal [green]15[/green] HP.",Standard relic. Evaluate based on deck needs.
Meat Cleaver,MEAT_CLEAVER,B,Ancient Relic,Shared,shared,You may [gold]Cook[/gold] at Rest Sites.,Standard relic. Evaluate based on deck needs.
Meat on the Bone,MEAT_ON_THE_BONE,B,Rare Relic,Shared,shared,"If your HP is at or below [blue]50%[/blue] at the end of combat, heal [green]12[/green] HP.",End combat below 50% HP = heal 12. Safety net.
Membership Card,MEMBERSHIP_CARD,S,Shop Relic,Shared,shared,[blue]50%[/blue] discount on all products!,"Shop 50% off. Buy early, pays for itself."
Mercury Hourglass,MERCURY_HOURGLASS,B,Uncommon Relic,Shared,shared,"At the start of your turn, deal [blue]3[/blue] damage to ALL enemies.",Start turn = 3 damage to all. Free AoE.
Metronome,METRONOME,B,Rare Relic,Shared,defect,"The first time you [gold]Channel[/gold] [blue]7[/blue] [gold]Orbs[/gold] each combat, deal [blue]30[/blue] damage to ALL enemies.",Channel 7 Orbs = 30 AoE. Milestone bonus for Orb decks.
Mini Regent,MINI_REGENT,S,Rare Relic,Shared,regent,"The first time you spend [star:1] each turn, gain [blue]1[/blue] [gold]Strength[/gold].",First Star spent = +1 Strength. Free Strength scaling.
Miniature Cannon,MINIATURE_CANNON,B,Uncommon Relic,Shared,shared,[gold]Upgraded[/gold] Attacks deal [blue]3[/blue] additional damage.,Standard relic. Evaluate based on deck needs.
