name,id,hp_min,hp_max,type,act
Kin Follower,KIN_FOLLOWER,,,Boss,
Kin Priest,KIN_PRIEST,,,Boss,
Knowledge Demon,KNOWLEDGE_DEMON,,,Boss,
Lagavulin Matriarch,LAGAVULIN_MATRIARCH,,,Boss,
Leaf Slime (M),LEAF_SLIME_M,,,Normal,
Leaf Slime (S),LEAF_SLIME_S,,,Normal,
Living Fog,LIVING_FOG,,,Normal,
Living Shield,LIVING_SHIELD,,,Normal,
Louse Progenitor,LOUSE_PROGENITOR,,,Normal,
Magi Knight,MAGI_KNIGHT,,,Elite,
Mawler,MAWLER,,,Normal,
Mecha Knight,MECHA_KNIGHT,,,Elite,
Myte,MYTE,,,Normal,
Nibbit,NIBBIT,,,Normal,
Noisebot,NOISEBOT,,,Normal,
Osty,OSTY,,,Normal,
Ovicopter,OVICOPTER,,,Normal,
Owl Magistrate,OWL_MAGISTRATE,,,Normal,
Pael's Legion,PAELS_LEGION,,,Normal,
Parafright,PARAFRIGHT,,,Normal,
Phantasmal Gardener,PHANTASMAL_GARDENER,,,Elite,
Phrog Parasite,PHROG_PARASITE,,,Elite,
Punch Construct,PUNCH_CONSTRUCT,,,Normal,
Queen,QUEEN,,,Boss,
Rocket,ROCKET,,,Boss,
Scroll of Biting,SCROLL_OF_BITING,,,Normal,
Seapunk,SEAPUNK,,,Normal,
Sewer Clam,SEWER_CLAM,,,Normal,
Shrinker Beetle,SHRINKER_BEETLE,,,Normal,
Skulking Colony,SKULKING_COLONY,,,Elite,
Slimed Berserker,SLIMED_BERSERKER,,,Normal,
Slithering Strangler,SLITHERING_STRANGLER,,,Normal,
Sludge Spinner,SLUDGE_SPINNER,,,Normal,
Slumbering Beetle,SLUMBERING_BEETLE,,,Normal,
Snapping Jaxfruit,SNAPPING_JAXFRUIT,,,Normal,
Sneaky Gremlin,SNEAKY_GREMLIN,,,Normal,
Soul Fysh,SOUL_FYSH,,,Boss,
Soul Nexus,SOUL_NEXUS,,,Elite,
Spectral Knight,SPECTRAL_KNIGHT,,,Elite,
Spiny Toad,SPINY_TOAD,,,Normal,
Stabbot,STABBOT,,,Normal,
Terror Eel,TERROR_EEL,,,Elite,
Test Subject #C{Count},TEST_SUBJECT,,,Boss,
The Adversary Mk 1,THE_ADVERSARY_MK_ONE,,,Normal,
The Adversary Mk 3,THE_ADVERSARY_MK_THREE,,,Normal,
The Adversary Mk 2,THE_ADVERSARY_MK_TWO,,,Normal,
The Forgotten,THE_FORGOTTEN,,,Normal,
The Insatiable,THE_INSATIABLE,,,Boss,
The Lost,THE_LOST,,,Normal,
The Obscura,THE_OBSCURA,,,Normal,
Thieving Hopper,THIEVING_HOPPER,,,Normal,
Toadpole,TOADPOLE,,,Normal,
Torch Head Amalgam,TORCH_HEAD_AMALGAM,,,Boss,
Tough Egg,TOUGH_EGG,,,Normal,
Tracker Raider,TRACKER_RUBY_RAIDER,,,Normal,
Tunneler,TUNNELER,,,Normal,
Turret Operator,TURRET_OPERATOR,,,Normal,
Twig Slime (M),TWIG_SLIME_M,,,Normal,
Twig Slime (S),TWIG_SLIME_S,,,Normal,
Two-Tailed Rat,TWO_TAILED_RAT,,,Normal,
Vantom,VANTOM,,,Boss,
Vine Shambler,VINE_SHAMBLER,,,Normal,
Waterfall Giant,WATERFALL_GIANT,,,Boss,
Wriggler,WRIGGLER,,,Elite,
Zapbot,ZAPBOT,,,Normal,
