name,id,rarity,pool,image_file,description
"Ship in a Bottle",SHIP_IN_A_BOTTLE,Rare,shared,ship_in_a_bottle.png,"Gain [blue]10[/blue] [gold]Block[/gold]. Next turn, gain [blue]10[/blue] [gold]Block[/gold]."
"Skill Potion",SKILL_POTION,Common,shared,skill_potion.png,"Choose [blue]1[/blue] of [blue]3[/blue] random Skill cards to add into your [gold]Hand[/gold]. It's free to play this turn."
"Snecko Oil",SNECKO_OIL,Rare,shared,snecko_oil.png,"Draw [blue]7[/blue] cards. Randomize the cost of cards in your [gold]Hand[/gold] this turn."
"Soldier's Stew",SOLDIERS_STEW,Rare,ironclad,soldiers_stew.png,"All cards containing [gold]Strike[/gold] gain [blue]1[/blue] [gold]Replay[/gold] this combat."
"Speed Potion",SPEED_POTION,Common,shared,speed_potion.png,"Gain [blue]5[/blue] [gold]Dexterity[/gold]. At the end of your turn, lose [blue]5[/blue] [gold]Dexterity[/gold]."
"Stable Serum",STABLE_SERUM,Uncommon,shared,stable_serum.png,"[gold]Retain[/gold] your [gold]Hand[/gold] for [blue]2[/blue] turns."
"Star Potion",STAR_POTION,Common,regent,star_potion.png,"Gain [star:3]."
"Strength Potion",STRENGTH_POTION,Common,shared,strength_potion.png,"Gain [blue]2[/blue] [gold]Strength[/gold]."
"Swift Potion",SWIFT_POTION,Common,shared,swift_potion.png,"Draw [blue]3[/blue] cards."
"Touch of Insanity",TOUCH_OF_INSANITY,Uncommon,shared,touch_of_insanity.png,"Choose a card in your [gold]Hand[/gold]. It is free to play this combat."
"Vulnerable Potion",VULNERABLE_POTION,Common,shared,vulnerable_potion.png,"Apply [blue]3[/blue] [gold]Vulnerable[/gold]."
"Weak Potion",WEAK_POTION,Common,shared,weak_potion.png,"Apply [blue]3[/blue] [gold]Weak[/gold]."
