name,id,rarity,character,description
Pot of Ghouls,POT_OF_GHOULS,Rare,Shared,Add [blue]2[/blue] [gold]Souls[/gold] into your [gold]Hand[/gold].
Potion of Binding,POTION_OF_BINDING,Uncommon,Shared,Apply [blue]1[/blue] [gold]Weak[/gold] and [blue]1[/blue] [gold]Vulnerable[/gold] to ALL enemies.
Potion of Capacity,POTION_OF_CAPACITY,Uncommon,Shared,Gain [blue]2[/blue] [gold]Orb Slots[/gold].
Potion of Doom,POTION_OF_DOOM,Common,Shared,Apply [blue]33[/blue] [gold]Doom[/gold].
Potion-Shaped Rock,POTION_SHAPED_ROCK,Token,Shared,Deal [blue]15[/blue] damage.
Powdered Demise,POWDERED_DEMISE,Uncommon,Shared,Enemy loses [blue]9[/blue] HP at the end of each of its turns.
Power Potion,POWER_POTION,Common,Shared,Choose [blue]1[/blue] of [blue]3[/blue] random Power cards to add into your [gold]Hand[/gold]. It's free to play this turn.
Radiant Tincture,RADIANT_TINCTURE,Uncommon,Shared,Gain [energy:1]. Gain an additional [energy:1] at the start of your next [blue]3[/blue] turns.
Regen Potion,REGEN_POTION,Uncommon,Shared,Gain [green]5[/green] [gold]Regen[/gold].
Shackling Potion,SHACKLING_POTION,Rare,Shared,ALL enemies lose [blue]7[/blue] [gold]Strength[/gold] this turn.
Ship in a Bottle,SHIP_IN_A_BOTTLE,Rare,Shared,"Gain [blue]10[/blue] [gold]Block[/gold]. Next turn, gain [blue]10[/blue] [gold]Block[/gold]."
Skill Potion,SKILL_POTION,Common,Shared,Choose [blue]1[/blue] of [blue]3[/blue] random Skill cards to add into your [gold]Hand[/gold]. It's free to play this turn.
Snecko Oil,SNECKO_OIL,Rare,Shared,Draw [blue]7[/blue] cards. Randomize the cost of cards in your [gold]Hand[/gold] this turn.
Soldier's Stew,SOLDIERS_STEW,Rare,Shared,All cards containing [gold]Strike[/gold] gain [blue]1[/blue] [gold]Replay[/gold] this combat.
Speed Potion,SPEED_POTION,Common,Shared,"Gain [blue]5[/blue] [gold]Dexterity[/gold]. At the end of your turn, lose [blue]5[/blue] [gold]Dexterity[/gold]."
Stable Serum,STABLE_SERUM,Uncommon,Shared,[gold]Retain[/gold] your [gold]Hand[/gold] for [blue]2[/blue] turns.
Star Potion,STAR_POTION,Common,Shared,Gain [star:3].
Strength Potion,STRENGTH_POTION,Common,Shared,Gain [blue]2[/blue] [gold]Strength[/gold].
Swift Potion,SWIFT_POTION,Common,Shared,Draw [blue]3[/blue] cards.
Touch of Insanity,TOUCH_OF_INSANITY,Uncommon,Shared,Choose a card in your [gold]Hand[/gold]. It is free to play this combat.
Vulnerable Potion,VULNERABLE_POTION,Common,Shared,Apply [blue]3[/blue] [gold]Vulnerable[/gold].
Weak Potion,WEAK_POTION,Common,Shared,Apply [blue]3[/blue] [gold]Weak[/gold].
